name,team,experience,ewa,salary
LeBron James,CLE,11,15.5,21108899
Kevin Durant,OKC,7,7.9,17832627
James Harden,HOU,5,18.7,15756438
Anthony Davis,NOP,2,18.8,5799503
Stephen Curry,GSW,5,17.0,11000000
Chris Paul,LAC,9,15.4,21468695
Kevin Love,CLE,6,8.6,15206485
DeMarcus Cousins,SAC,4,11.4,16404925
Carmelo Anthony,NYK,11,8.1,24812936
Blake Griffin,LAC,4,10.5,18907725
Russell Westbrook,OKC,6,15.3,15719062
Andre Drummond,DET,2,9.2,2664793
Al Jefferson,CHO,10,8.1,13666667
LaMarcus Aldridge,POR,8,10.2,13000000
John Wall,WAS,4,10.3,16957900
Kyrie Irving,CLE,3,11.2,5799503
Damian Lillard,POR,2,11.3,3461292
Kyle Lowry,TOR,8,9.0,12000000
DeAndre Jordan,LAC,6,11.2,10759764
Goran Dragic,MIA,6,6.7,7500000
Pau Gasol,CHI,13,11.8,7448760
Marc Gasol,MEM,6,12.3,14375941
Derrick Favors,UTA,4,10.2,11737500
Rudy Gay,SAC,8,9.2,13333333
Tim Duncan,SAS,17,8.5,10120482
Paul Millsap,ATL,8,8.4,9500000
Nikola Vucevic,ORL,3,11.3,12000000
Mike Conley,MEM,7,7.7,8000000
Isaiah Thomas,BOS,3,6.8,6750001
Gordon Hayward,UTA,4,10.5,15741355
Dwyane Wade,MIA,11,8.1,15562500
Chris Bosh,MIA,11,7.3,23741060
Ty Lawson,DEN,5,9.1,12000000
Greg Monroe,DET,4,9.0,5479933
Monta Ellis,DAL,9,7.9,8360000
Jeff Teague,ATL,5,9.6,8000000
Dwight Howard,HOU,10,3.9,21897818
Zach Randolph,MEM,13,7.5,10000000
Serge Ibaka,OKC,5,5.4,12350000
DeMar DeRozan,TOR,5,4.1,9500000
Al Horford,ATL,7,10.5,12000000
Marcin Gortat,WAS,7,6.4,12000000
Kawhi Leonard,SAS,3,7.2,2080925
Jimmy Butler,CHI,3,11.5,1302377
Tyreke Evans,NOP,5,7.3,11000001
Eric Bledsoe,PHO,4,9.0,14000000
Jonas Valanciunas,TOR,2,7.9,3809981
Tyson Chandler,DAL,13,9.2,13852363
Paul George,IND,4,,17000000
Kenneth Faried,DEN,3,4.6,12500000
Kemba Walker,CHO,3,5.7,2664793
Brandon Knight,PHO,3,6.6,2897459
Jamal Crawford,LAC,14,5.7,5337500
Wesley Matthews,POR,5,5.7,6505320
Chandler Parsons,DAL,3,5.3,15361500
Robin Lopez,POR,6,3.0,5119761
Brandan Wright,PHO,6,5.3,5000000
Thaddeus Young,MIN,7,4.7,8600000
Tobias Harris,ORL,3,6.0,1706649
David Lee,GSW,9,2.7,13256280
Markieff Morris,PHO,3,3.9,8000000
Manu Ginobili,SAS,12,4.0,7250000
Brandon Jennings,DET,5,5.1,8000000
Enes Kanter,OKC,3,5.9,4663129
David West,IND,11,3.7,12200000
Jared Sullinger,BOS,2,5.1,1591605
Nikola Pekovic,MIN,4,2.5,12000000
Brook Lopez,BRK,6,6.8,15206485
Mason Plumlee,BRK,1,6.0,1357080
Luol Deng,MIA,10,5.5,9933037
Paul Pierce,WAS,16,4.1,5424363
Darren Collison,SAC,5,5.3,5013559
Jordan Hill,LAL,5,4.6,9000000
Joe Johnson,BRK,13,3.9,20609682
Timofey Mozgov,CLE,4,5.0,4525000
John Henson,MIL,2,3.4,3183295
Amar'e Stoudemire,DAL,12,4.8,485670
Louis Williams,TOR,9,7.3,5225000
Terrence Jones,HOU,2,2.1,1786262
Deron Williams,BRK,9,3.0,19754465
Victor Oladipo,ORL,1,5.8,4978160
Kevin Martin,MIN,10,3.0,6938750
Tristan Thompson,CLE,3,4.8,4205318
Trevor Ariza,HOU,10,1.6,8000001
Josh Smith,DET,10,3.8,2077000
D.J. Augustin,OKC,6,3.6,3000000
Taj Gibson,CHI,5,3.1,8250000
Reggie Jackson,DET,3,3.5,1457363
Gorgui Dieng,MIN,1,6.1,1413520
Ed Davis,LAL,4,6.3,1040843
Andrew Bogut,GSW,9,2.7,12000000
Jrue Holiday,NOP,5,4.8,10250001
Kyle Korver,ATL,11,4.4,6000000
Anderson Varejao,CLE,10,2.3,10000000
Draymond Green,GSW,2,5.9,880248
Arron Afflalo,POR,7,0.8,7342500
Brandon Bass,BOS,9,3.8,6450000
Kris Humphries,WAS,10,2.5,4440000
DeMarre Carroll,ATL,5,3.8,2500000
Tyler Zeller,BOS,2,5.1,1879324
Rodney Stuckey,IND,7,4.1,1227985
Michael Carter-Williams,MIL,1,2.0,2300000
Carlos Boozer,CHI,12,4.2,3251000
Amir Johnson,TOR,9,3.1,6000000
Jeff Green,MEM,6,3.6,8800000
James Johnson,TOR,5,4.0,2500000
Bradley Beal,WAS,2,2.5,4663129
Jodie Meeks,DET,5,1.8,6270000
Ricky Rubio,MIN,3,1.5,3836364
Jeremy Lin,LAL,4,3.7,8374646
Nick Young,LAL,7,1.9,5331544
J.J. Hickson,DEN,6,1.8,5381750
Roy Hibbert,IND,6,3.4,14591391
J.J. Redick,LAC,8,3.9,6938750
Chris Andersen,MIA,12,2.0,5187500
Ryan Anderson,NOP,6,3.8,8500000
J.R. Smith,CLE,,2.4,5982375
Andray Blatche,WAS,,,7794921
Spencer Hawes,LAC,7,0.1,5663088
Eric Gordon,NOP,6,1.8,14591391
Tiago Splitter,SAS,4,2.5,9000000
Khris Middleton,MIL,2,4.9,725906
Alec Burks,UTA,3,0.9,2341929
Marco Belinelli,SAS,7,1.5,2811875
Tony Allen,MEM,10,2.7,5000000
Corey Brewer,HOU,7,3.1,4702500
Marreese Speights,GSW,6,4.2,3657500
P.J. Tucker,PHO,3,2.4,5500000
Kelly Olynyk,BOS,1,2.6,2075760
George Hill,IND,6,2.9,8000000
Alexis Ajinca,NOP,4,3.8,808482
Kosta Koufos,MEM,6,1.6,3000000
Omer Asik,NOP,4,3.9,8374646
Jose Calderon,NYK,9,0.3,7250000
Patrick Patterson,TOR,4,3.1,6050000
Gerald Henderson,CHO,5,2.3,6000000
Chris Kaman,POR,11,2.9,4908000
Miles Plumlee,MIL,2,1.4,1368493
Vince Carter,MEM,16,-0.2,4088019
Courtney Lee,MEM,6,1.8,5337500
Samuel Dalembert,NYK,12,0.0,
Al-Farouq Aminu,DAL,4,2.3,1040843
Shaun Livingston,GSW,9,1.4,5543725
Marcus Morris,PHO,3,1.9,2164795
Giannis Antetokounmpo,MIL,1,4.6,1873240
Mario Chalmers,MIA,6,1.5,4150000
Mo Williams,CHO,11,4.0,3750000
Ramon Sessions,WAS,7,-0.9,2123733
Mike Scott,ATL,2,1.9,3333333
Luis Scola,HOU,7,3.2,4508504
