Player_Notes,Player_Name,PF-2015,TO-2015,BLK-2015,STL-2015,AST-2015,TR-2015,DR-2015,OR-2015,PTS-2015,FT %-2015,FT Attempted-2015,FT Made-2015,2P %-2015,2P Attempted-2015,2P Made-2015,3P  %-2015,3P Attempted-2015,3P Made-2015,FG %-2015,FG Attempted-2015,FG Made-2015,Minutes-2015,Games Started-2015,Games-2015,Consolidated_Agent,Agency,Team,Position,Draft_Status,Draft_Year,Draft_Round,Draft_Order,Contract_Contract_Years,Contract_Expires,Current_Contract_Value,Contract_Contract_Avg,College,Experience,Age,Signed_Using,Salary_214-15,Salary_215-16,Salary_216-17,Salary_217-18,Salary_218-19,Previous_Contract_Years,Previous_Contract_TotalVal,Previous_Contract_TotalAvg,Secondary_Agent,Tertiary_Agent,PER_2013_2014,EWA_2013_2014,PER_2014_2015,EWA_2014_2015,Cumulative_TwoYear_EWA
,LeBron James,2.0,4.2,0.7,1.6,7.4,5.7,5.1,0.7,26.0,0.7,8.0,5.7,0.5,13.8,7.5,0.3,5.0,1.8,0.5,18.8,9.2,36.2,58.0,58.0,Rich Paul ,Klutch Sports Management,CLE,SF,Drafted,2003,1,1,2,2016,42217798,21108899,High School,11,30,Cap Space,26444,21573398,,,,6,109837500,18306250,,,29.4,27.3,26.1,15.5,42.8
,Kevin Durant,1.5,2.7,0.9,0.9,4.1,6.6,6.0,0.6,25.4,0.9,6.3,5.4,0.6,11.4,6.4,0.4,5.9,2.4,0.5,17.3,8.8,33.8,27.0,27.0,Roc Nation Sports,Creative Artists Agency,OKC,SF,Drafted,2007,1,2,5,2016,89163134,17832627,Texas,7,26,Bird Rights,19997513,2122185,,,,4,19505783,4876446,,,29.9,30.1,27.8,7.9,38.0
,James Harden,2.6,4.0,0.8,1.9,7.1,5.8,4.8,0.9,26.9,0.9,9.8,8.5,0.5,11.2,5.4,0.4,6.7,2.5,0.4,17.9,8.0,36.8,65.0,65.0,Rob Pelinka,Landmark Sports Agency,HOU,SG,Drafted,2009,1,3,5,2018,78782188,15756438,Arizona State,5,25,Bird Rights,1469396,1571962,16744218,17769374,,4,17835366,4458842,,,23.5,18.0,27.0,18.7,36.7
,Anthony Davis,2.0,1.4,2.9,1.4,1.9,10.4,7.7,2.6,24.7,0.8,6.5,5.4,0.6,17.5,9.6,0.1,0.2,0.0,0.5,17.6,9.6,35.8,54.0,54.0,Arn Tellem,Wasserman Media Group,NOP,PF,Drafted,2012,1,1,4,2016,23198010,5799503,Kentucky,2,21,1st Round Pick,56724,77729,9191947,,,,,, Thaddeus A. Foucher,,26.5,17.6,31.5,18.8,36.4
,Stephen Curry,2.0,3.1,0.2,2.2,7.8,4.4,3.7,0.7,23.5,0.9,4.4,4.0,0.5,8.8,4.7,0.4,8.0,3.4,0.5,16.8,8.1,33.0,64.0,64.0,Jeff Austin,Octagon,GSW,PG,Drafted,2009,1,7,4,2017,44000000,11000000,Davidson,5,26,Bird Rights,1629213,1137786,12112359,,,4,12700262,3175066,,,24.1,18.6,27.9,17.0,35.6
,Chris Paul,2.5,2.4,0.2,1.9,10.0,4.7,4.0,0.7,18.4,0.9,3.6,3.2,0.5,10.2,5.3,0.4,4.1,1.6,0.5,14.3,6.8,34.9,67.0,67.0,Leon Rose,Creative Artists Agency,LAC,PG,Drafted,2005,1,4,5,2018,107343477,21468695,Wake Forest,9,29,Bird Rights,268563,21468695,22868827,24268959,,4,63629415,15907354,,,26.0,16.2,24.9,15.4,31.6
,Kevin Love,2.0,1.5,0.5,0.7,2.3,10.1,8.2,2.0,16.8,0.8,4.7,3.8,0.5,7.7,3.7,0.4,5.2,1.9,0.4,12.9,5.6,34.4,64.0,64.0,Jeff Schwartz,Excel Sports Management,CLE,PF,Drafted,2008,1,5,4,2016,60825938,15206485,California-Los Angeles,6,26,Bird Rights,1571963,16744219,,,,4,14812701,3703175,,,27.0,21.5,19.5,8.6,30.1
,DeMarcus Cousins,4.1,4.2,1.6,1.4,3.3,12.3,9.3,3.0,23.7,0.8,9.1,7.3,0.5,17.4,8.2,0.3,0.1,0.0,0.5,17.5,8.2,33.9,52.0,52.0,John Greig,Relativity Sports,SAC,C,Drafted,2010,1,5,4,2018,65619700,16404925,Kentucky,4,24,1st Round Pick,137125,14728844,15756438,1678431,,4,15800133,3950033,,,26.2,17.8,24.7,11.4,29.2
,Carmelo Anthony,2.2,2.2,0.4,1.0,3.1,6.6,4.8,1.8,24.2,0.8,5.9,4.7,0.5,15.7,7.4,0.3,4.5,1.5,0.4,20.2,9.0,35.7,40.0,40.0,Leon Rose,Creative Artists Agency,NYK,SF,Drafted,2003,1,3,5,2019,124064681,24812936,Syracuse,11,30,Bird Rights,2245841,22875,2455938,2624376,2792814,3,64166861,21388954,,,24.5,20.8,21.8,8.1,28.9
,Blake Griffin,3.0,2.3,0.4,0.9,5.2,7.6,5.7,2.0,22.3,0.7,6.6,4.8,0.5,17.0,8.5,0.4,0.4,0.2,0.5,17.4,8.7,35.4,52.0,52.0,Sam Goldfeder,Excel Sports Management,LAC,PF,Drafted,2009,1,1,5,2018,94538626,18907725,Oklahoma,4,25,Bird Rights,17632688,18862876,29364,21323252,,4,23298682,5824671,,,24.0,17.8,23.2,10.5,28.3
